block,idx,tensor_idx
[3*]Oc1ccc(C)cc1,151667,0
[2*]c1nc2ccccc2nc1[1*],151668,1
[3*]N1CCN(C)CC1,151669,2
[3*]C(=O)Nc1ccccc1,151670,3
[3*]Nc1ccc(C)cc1C,151671,4
[3*]NCc1ccccc1,151672,5
[1*]NC(C)C([2*])=O,151673,6
[3*]C(=O)C(C)(C)C,151674,7
[3*]c1ccncc1,151675,8
[1*]Nc1nc([2*])cs1,151676,9
[3*]c1cccc(Cl)c1,151677,10
[1*]NC(C([2*])=O)C(C)C,151678,11
[3*]C(C)=O,151679,12
[3*]OCC(O)CNC(C)C,151680,13
[3*]c1ccccc1OC,151681,14
[3*]c1ccc(Cl)cc1,151682,15
[2*]c1csc([1*])n1,151683,16
[3*]Nc1ccc(O)cc1,151684,17
[3*]NCCN1CCOCC1,151685,18
[1*]Nc1ccc(C([2*])=O)cc1,151686,19
[3*]C(=O)Nc1ccc(Cl)cc1,151687,20
[3*]c1cccc(OC)c1,151688,21
[2*]CN1CCN(C[1*])CC1,151689,22
[3*]c1cc2ccccc2o1,151690,23
[3*]C(=O)c1ccc(OC)cc1,151691,24
[3*]Nc1ccc(C)cc1,151692,25
[3*]C(=O)c1cc(OC)c(OC)c(OC)c1,151693,26
[2*]N1CCN([1*])CC1,151694,27
[3*]c1ccc(F)cc1,151695,28
[2*]OCCCO[1*],151696,29
[3*]c1ccc2c(c1)OCO2,151697,30
[3*]C(=O)c1cccc2ccccc12,151698,31
[3*]C(=O)c1ccc(F)cc1,151699,32
[3*]C(=O)c1ccc(C)cc1,151700,33
[3*]c1cccc2ccccc12,151701,34
[3*]c1ccccc1,151702,35
[3*]c1ccccc1C,151703,36
[3*]NS(=O)(=O)c1ccc(N)cc1,151704,37
[3*]c1nc(C)cc(C)n1,151705,38
[3*]Nc1cccc(OC)c1,151706,39
[1*]Nc1ccc([2*])cc1,151707,40
[3*]C(=O)CC,151708,41
[3*]c1cc(C)on1,151709,42
[3*]c1ccc(NC(C)=O)cc1,151710,43
[3*]C(=O)c1ccccc1Br,151711,44
[2*]NC(C[1*])C(=O)O,151712,45
[3*]c1ccc(C#N)cc1,151713,46
[3*]C(=O)c1ccccc1Cl,151714,47
[2*]NC(C[1*])C(=O)OC,151715,48
[3*]c1c[nH]c2ccccc12,151716,49
[3*]c1ccco1,151717,50
[1*]c1nn2c([2*])nnc2s1,151718,51
[3*]c1cccnc1,151719,52
[3*]c1cccc(C)c1,151720,53
[3*]C(=O)c1cccc([N+](=O)[O-])c1,151721,54
[3*]c1ccc(OCC)cc1,151722,55
[3*]c1cccs1,151723,56
[3*]C(=O)C(C)C,151724,57
[2*]c1ccc([1*])cc1,151725,58
[3*]NC(=O)c1cccs1,151726,59
[3*]c1ccc(Br)cc1,151727,60
[1*]NCCC([2*])=O,151728,61
