Unnamed: 0,SMILES,blocks
133,CN1[C@@H]2CCC[C@H]1C[C@@H](NC(=O)c1nn(C)c3ccccc13)C2,[3*]N[C@H]1C[C@H]2CCC[C@@H](C1)N2C^[3*]C(=O)c1nn(C)c2ccccc12
166,CC(=O)c1ccc(S(=O)(=O)NC(=O)NC2CCCCC2)cc1,[3*]NC1CCCCC1^[3*]C(=O)NS(=O)(=O)c1ccc(C(C)=O)cc1
175,CCCNC(=O)NS(=O)(=O)c1ccc(Cl)cc1,[3*]NCCC^[3*]C(=O)NS(=O)(=O)c1ccc(Cl)cc1
177,C[N+]1(C)CCC(=C(c2ccccc2)c2ccccc2)CC1,[3*]c1ccccc1^[3*]C(=C1CC[N+](C)(C)CC1)c1ccccc1
179,CCCCNC(=O)NS(=O)(=O)c1ccc(C)cc1,[3*]NCCCC^[3*]C(=O)NS(=O)(=O)c1ccc(C)cc1
190,CC(C)(CO)[C@@H](O)C(=O)NCCCO,[3*]NCCCO^[3*]C(=O)[C@H](O)C(C)(C)CO
219,CCC1=C(C)CN(C(=O)NCCc2ccc(S(=O)(=O)NC(=O)N[C@H]3CC[C@H](C)CC3)cc2)C1=O,[3*]N[C@H]1CC[C@H](C)CC1^[3*]C(=O)NS(=O)(=O)c1ccc(CCNC(=O)N2CC(C)=C(CC)C2=O)cc1
239,CN(CCOc1ccc(CC2SC(=O)NC2=O)cc1)c1ccccn1,[3*]N(C)CCOc1ccc(CC2SC(=O)NC2=O)cc1^[3*]c1ccccn1
247,CCCCCCCC(=O)N[C@H](CN1CCCC1)[C@H](O)c1ccc2c(c1)OCCO2,[3*]N[C@H](CN1CCCC1)[C@H](O)c1ccc2c(c1)OCCO2^[3*]C(=O)CCCCCCC
264,COc1ccc(-c2cc(=S)ss2)cc1,[3*]c1cc(=S)ss1^[3*]c1ccc(OC)cc1
267,Cc1ccc([C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)cc1Cc1ccc(-c2ccc(F)cc2)s1,[3*]c1ccc(F)cc1^[3*]c1ccc(Cc2cc([C@@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)ccc2C)s1
273,O=C(NC[C@H]1CN(c2ccc(N3CCOCC3=O)cc2)C(=O)O1)c1ccc(Cl)s1,[3*]NC[C@H]1CN(c2ccc(N3CCOCC3=O)cc2)C(=O)O1^[3*]C(=O)c1ccc(Cl)s1
275,CCCSc1nc(N[C@@H]2C[C@H]2c2ccc(F)c(F)c2)c2nnn([C@@H]3C[C@H](OCCO)[C@@H](O)[C@H]3O)c2n1,[3*]N[C@@H]1C[C@H]1c1ccc(F)c(F)c1^[3*]c1nc(SCCC)nc2c1nnn2[C@@H]1C[C@H](OCCO)[C@@H](O)[C@H]1O
280,CSCCNc1nc(SCCC(F)(F)F)nc2c1ncn2[C@@H]1O[C@H](COP(=O)(O)OP(=O)(O)C(Cl)(Cl)P(=O)(O)O)[C@@H](O)[C@H]1O,[3*]NCCSC^[3*]c1nc(SCCC(F)(F)F)nc2c1ncn2[C@@H]1O[C@H](COP(=O)(O)OP(=O)(O)C(Cl)(Cl)P(=O)(O)O)[C@@H](O)[C@H]1O
307,CCN(CC)CC(=O)Nc1c(C)cccc1C,[3*]Nc1c(C)cccc1C^[3*]C(=O)CN(CC)CC
332,C=C1CC[C@H](O)C/C1=C/C=C1\CCC[C@]2(C)[C@@H]([C@H](C)CCCC(C)C)CC[C@@H]12,[3*]C=C1CCC[C@]2(C)[C@@H]([C@H](C)CCCC(C)C)CC[C@@H]12^[3*]C=C1C[C@@H](O)CCC1=C
354,O=C(NCCO[N+](=O)[O-])c1cccnc1,[3*]NCCO[N+](=O)[O-]^[3*]C(=O)c1cccnc1
356,C=C1/C(=C\C=C2/CCC[C@]3(C)[C@@H]([C@H](C)CCCC(C)C)CC[C@@H]23)C[C@@H](O)C[C@@H]1O,[3*]C=C1CCC[C@]2(C)[C@@H]([C@H](C)CCCC(C)C)CC[C@@H]12^[3*]C=C1C[C@@H](O)C[C@H](O)C1=C
369,C=C1/C(=C\C=C2/CCC[C@]3(C)[C@@H]([C@H](C)CCCC(C)(C)O)CC[C@@H]23)C[C@@H](O)C[C@@H]1O,[3*]C=C1CCC[C@]2(C)[C@@H]([C@H](C)CCCC(C)(C)O)CC[C@@H]12^[3*]C=C1C[C@@H](O)C[C@H](O)C1=C
375,COc1ccc(C(=O)Nc2ccccc2CCC2CCCCN2C)cc1,[3*]Nc1ccccc1CCC1CCCCN1C^[3*]C(=O)c1ccc(OC)cc1
390,C=C1CC[C@H](O)C/C1=C/C=C1\CCC[C@]2(C)[C@@H]([C@H](C)CCCC(C)(C)O)CC[C@@H]12,[3*]C=C1CCC[C@]2(C)[C@@H]([C@H](C)CCCC(C)(C)O)CC[C@@H]12^[3*]C=C1C[C@@H](O)CCC1=C
415,COc1ccccc1OCC(O)CN1CCN(CC(=O)Nc2c(C)cccc2C)CC1,[3*]Nc1c(C)cccc1C^[3*]C(=O)CN1CCN(CC(O)COc2ccccc2OC)CC1
431,CCCCNc1ccc(C(=O)OCCN(C)C)cc1,[3*]NCCCC^[3*]c1ccc(C(=O)OCCN(C)C)cc1
441,CCCNS(=O)(=O)Nc1ncnc(OCCOc2ncc(Br)cn2)c1-c1ccc(Br)cc1,[3*]c1c(NS(=O)(=O)NCCC)ncnc1OCCOc1ncc(Br)cn1^[3*]c1ccc(Br)cc1
456,CCCCOc1cc(C(=O)NCCN(CC)CC)c2ccccc2n1,[3*]NCCN(CC)CC^[3*]C(=O)c1cc(OCCCC)nc2ccccc12
486,CC(C)COCC(CN(Cc1ccccc1)c1ccccc1)N1CCCC1,[3*]N(Cc1ccccc1)CC(COCC(C)C)N1CCCC1^[3*]c1ccccc1
553,COc1ccc(CN(CCN(C)C)c2ncccn2)cc1,[3*]N(CCN(C)C)Cc1ccc(OC)cc1^[3*]c1ncccn1
557,CN1CCC(N(Cc2cccs2)c2ccccc2)CC1,[3*]N(Cc1cccs1)C1CCN(C)CC1^[3*]c1ccccc1
562,CCN(CC)CCOc1ccc2nc(N(C)C)sc2c1,[3*]N(C)C^[3*]c1nc2ccc(OCCN(CC)CC)cc2s1
565,COc1ccc(CN(CCN(C)C)c2ccccn2)cc1,[3*]N(CCN(C)C)Cc1ccc(OC)cc1^[3*]c1ccccn1
567,c1ccc(-c2ccc(C(c3ccccc3)n3ccnc3)cc2)cc1,[3*]c1ccc(C(c2ccccc2)n2ccnc2)cc1^[3*]c1ccccc1
571,CN(C)CCN(Cc1ccccc1)c1ccccn1,[3*]N(CCN(C)C)Cc1ccccc1^[3*]c1ccccn1
585,O=C(N[C@H](CO)[C@H](O)c1ccc([N+](=O)[O-])cc1)C(Cl)Cl,[3*]N[C@H](CO)[C@H](O)c1ccc([N+](=O)[O-])cc1^[3*]C(=O)C(Cl)Cl
616,CN(CC=Cc1ccccc1)Cc1cccc2ccccc12,[3*]C=CCN(C)Cc1cccc2ccccc12^[3*]c1ccccc1
621,CN(C)CCOCC(=O)NC12CC3CC(CC(C3)C1)C2,[3*]NC12CC3CC(CC(C3)C1)C2^[3*]C(=O)COCCN(C)C
628,CCOC(=O)N[C@@H]1CC[C@@H]2[C@@H](C1)C[C@H]1C(=O)O[C@H](C)[C@H]1[C@H]2/C=C/c1ccc(-c2cccc(F)c2)cn1,[3*]c1cccc(F)c1^[1*]c1ccc([2*])cn1^[3*]C=C[C@H]1[C@@H]2CC[C@@H](NC(=O)OCC)C[C@H]2C[C@H]2C(=O)O[C@H](C)[C@@H]12
661,CC(C)(C)NC(=O)[C@H]1CC[C@H]2[C@@H]3CC[C@H]4NC(=O)C=C[C@]4(C)[C@H]3CC[C@]12C,[3*]NC(C)(C)C^[3*]C(=O)[C@H]1CC[C@H]2[C@@H]3CC[C@H]4NC(=O)C=C[C@]4(C)[C@H]3CC[C@]12C
674,CCC[C@@H]1C[C@@H](C(=O)N[C@@H]([C@H]2O[C@H](SC)[C@H](O)[C@@H](O)[C@H]2O)[C@H](C)Cl)N(C)C1,[3*]N[C@@H]([C@H]1O[C@H](SC)[C@H](O)[C@@H](O)[C@H]1O)[C@H](C)Cl^[3*]C(=O)[C@@H]1C[C@@H](CCC)CN1C
710,C=C1/C(=C\C=C2/CCC[C@]3(C)[C@@H]([C@H](C)/C=C/[C@@H](O)C4CC4)CC[C@@H]23)C[C@@H](O)C[C@@H]1O,[3*]C=C1CCC[C@]2(C)[C@@H]([C@H](C)/C=C/[C@@H](O)C3CC3)CC[C@@H]12^[3*]C=C1C[C@@H](O)C[C@H](O)C1=C
732,Cc1c(-c2ccccc2)oc2c(C(=O)OCCN3CCCCC3)cccc2c1=O,[3*]c1ccccc1^[3*]c1oc2c(C(=O)OCCN3CCCCC3)cccc2c(=O)c1C
748,C[C@]12C=CC(=O)N[C@@H]1CC[C@@H]1[C@@H]2CC[C@]2(C)[C@@H](C(=O)Nc3cc(C(F)(F)F)ccc3C(F)(F)F)CC[C@@H]12,[3*]Nc1cc(C(F)(F)F)ccc1C(F)(F)F^[3*]C(=O)[C@H]1CC[C@H]2[C@@H]3CC[C@H]4NC(=O)C=C[C@]4(C)[C@H]3CC[C@]12C
858,CCC[C@@H]1C[C@@H](C(=O)N[C@@H]([C@H]2O[C@H](SC)[C@H](O)[C@@H](O)[C@H]2O)[C@@H](C)O)N(C)C1,[3*]N[C@@H]([C@H]1O[C@H](SC)[C@H](O)[C@@H](O)[C@H]1O)[C@@H](C)O^[3*]C(=O)[C@@H]1C[C@@H](CCC)CN1C
922,CC(=O)NC[C@H]1CN(c2ccc(N3CCOCC3)c(F)c2)C(=O)O1,[3*]N1CCOCC1^[1*]NC[C@H]1CN(c2ccc([2*])c(F)c2)C(=O)O1^[3*]C(C)=O
