target;protectedtarget;numGens;monoDeprotected;diDeprotected;total#ofBuilings;blockAboveLimits;monoProtected;diProtected
F[Sn]F;F[Sn]F;1;;;0;0;;
[Na+];[Na+];1;;;0;0;;
[Mg+2];[Mg+2];1;;;0;0;;
O=P([O-])([O-])F;O=P([O-])([O-])F;1;;;0;0;;
[OH-];[OH-];1;;;0;0;;
[F-];[F-];1;;;0;0;;
O=C([O-])[O-];O=C([O-])[O-];1;;;0;0;;
OO;OO;1;;;0;0;;
[O-2];[O-2];1;;;0;0;;
[Al+3];[Al+3];1;;;0;0;;
[Si+4];[Si+4];1;;;0;0;;
[Ca+2];[Ca+2];1;;;0;0;;
O=P([O-])([O-])[O-];O=P([O-])([O-])[O-];1;;;0;0;;
O;O;1;;;0;0;;
Oc1cccc2cccnc12;Oc1cccc2cccnc12;1;;;0;0;;
O=BOO;O=BOO;1;;;0;0;;
C[C@]12C=CC(=O)C=C1CC[C@@H]1[C@@H]2[C@@H](O)C[C@@]2(C)[C@H]1CC[C@]2(O)C(=O)CO;C[C@]12C=CC(=O)C=C1CC[C@@H]1[C@@H]2[C@@H](O)C[C@@]2(C)[C@H]1CC[C@]2(O)C(=O)CO;1;;;0;0;;
CC(=O)Oc1ccccc1C(=O)O;CC(=O)Oc1ccccc1C(=O)O;1;;;0;0;;
C[C@@H]1C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]2(C)[C@@]1(O)C(=O)CO;C[C@@H]1C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]2(C)[C@@]1(O)C(=O)CO;1;;;0;0;;
Cc1ncc([N+](=O)[O-])n1CCO;Cc1ncc([N+](=O)[O-])n1CCO;1;;;0;0;;
O=S(=O)([O-])[O-];O=S(=O)([O-])[O-];1;;;0;0;;
C[C@]12CCC(=O)C=C1CC[C@@H]1[C@@H]2[C@@H](O)C[C@@]2(C)[C@H]1CC[C@]2(O)C(=O)CO;C[C@]12CCC(=O)C=C1CC[C@@H]1[C@@H]2[C@@H](O)C[C@@]2(C)[C@H]1CC[C@]2(O)C(=O)CO;1;;;0;0;;
N=C(NCCCCCCNC(=N)NC(=N)Nc1ccc(Cl)cc1)NC(=N)Nc1ccc(Cl)cc1;N=C(NCCCCCCNC(=N)NC(=N)Nc1ccc(Cl)cc1)NC(=N)Nc1ccc(Cl)cc1;1;;;0;0;;
C[C@]12C=CC(=O)C=C1CC[C@H]1[C@@H]3C[C@@H](O)[C@](O)(C(=O)CO)[C@@]3(C)C[C@H](O)[C@@]12F;C[C@]12C=CC(=O)C=C1CC[C@H]1[C@@H]3C[C@@H](O)[C@](O)(C(=O)CO)[C@@]3(C)C[C@H](O)[C@@]12F;1;;;0;0;;
CC(C)c1ccc2oc3nc([1NH2])c(C(=O)O)cc3c(=O)c2c1;CC(C)c1ccc2oc3nc([1NH]C(=O)OC(C)(C)C)c(C(=O)O)cc3c(=O)c2c1;1;;;0;0;;
Clc1ccc(COC(Cn2ccnc2)c2ccc(Cl)cc2Cl)c(Cl)c1;Clc1ccc(COC(Cn2ccnc2)c2ccc(Cl)cc2Cl)c(Cl)c1;1;;;0;0;;
CCCCC(CC)CN1CN(CC(CC)CCCC)CC(C)([1NH2])C1;CCCCC(CC)CN1CN(CC(CC)CCCC)CC(C)([1NH]C(=O)OC(C)(C)C)C1;1;;;0;0;;
C[1NH]C[C@H](O)c1ccc(O)c(O)c1;C[1N](C[C@H](O)c1ccc(O)c(O)c1)C(=O)OC(C)(C)C;1;;;0;0;;
CN(C)[C@@H]1C(O)=C(C(N)=O)C(=O)[C@@]2(O)C(O)=C3C(=O)c4c(O)cccc4[C@@](C)(O)[C@H]3C[C@@H]12;CN(C)[C@@H]1C(O)=C(C(N)=O)C(=O)[C@@]2(O)C(O)=C3C(=O)c4c(O)cccc4[C@@](C)(O)[C@H]3C[C@@H]12;1;;;0;0;;
Clc1ccccc1C(c1ccccc1)(c1ccccc1)n1ccnc1;Clc1ccccc1C(c1ccccc1)(c1ccccc1)n1ccnc1;1;;;0;0;;
C[C@H]1c2cccc(O)c2C(=O)C2=C(O)[C@]3(O)C(=O)C(C(N)=O)=C(O)[C@@H](N(C)C)[C@@H]3[C@@H](O)[C@@H]21;C[C@H]1c2cccc(O)c2C(=O)C2=C(O)[C@]3(O)C(=O)C(C(N)=O)=C(O)[C@@H](N(C)C)[C@@H]3[C@@H](O)[C@@H]21;1;;;0;0;;
[O-][Si]([O-])([O-])[O-];[O-][Si]([O-])([O-])[O-];1;;;0;0;;
[Bi+3];[Bi+3];1;;;0;0;;
