drugbank_id,ATC,Name,Description,Indication,SMILES,blocks
DB09325,A01AA01,sodium fluoride,"Sodium fluoride is an inorganic chemical compound that is a source of the fluoride ion in many applications, including dental care and radiographic imaging when it is used as [Fluoride ion F-18].[L4894] Sodium fluoride's benefits on dental health were first observed in the 1930s, when individuals in communities with fluoridated drinking water showed less tooth decay than those without fluoridated water. The use of fluoride in dental practice began in the 1940s. Now, sodium fluoride may be found in a variety of gels, varnishes, rinses, toothpaste products, and fluoride treatments provided in dental care.[A181670,A181688] According to the American Dental Association (ADA), thorough evidence reviews have indicated that the use of fluoride to prevent and control dental caries is safe when used correctly and is highly effective in reducing the prevalence of caries.[L7691]","Sodium fluoride in the oral or topical form is indicated for the prevention and control of dental caries and for the maintenance of dental health.[A181652,L7670]  Fluoride supplements in the form of tablets and other formulas may be prescribed to prevent tooth decay in high-risk children aged 6 months to 16 years old whose drinking water source contains low fluoride concentrations.[L7691]",[F-].[Na+],[]
DB09484,A01AA02,sodium monofluorophosphate,Sodium monofluorophosphate is used in OTC dental preparations to help protect against cavities.,Sodium monofluorophosphate is indicated for the treatment of cavities,[Na+].[Na+].[O-]P([O-])(F)=O,[]
DB11092,A01AA04,stannous fluoride,"Stannous Fluoride, or Tn(II) Fluoride, is a compound commonly used in toothpastes for the prevention of gingivitis, dental infections, cavities, and to relieve dental hypersensitivity. Although similar in function and activity to Sodium Fluoride (NaF), the conventionally added ingredient in toothpastes, stannous fluoride has been shown to be more effective at stopping and reversing dental lesions [A19581]. It manages and prevents dental caries and gingivitis by promoting enamel mineralization [A19580], reducing gingival inflammation and bleeding [A19582, A19583] through its potential broad-spectrum antibiotic effect and modulation of the microbial composition of the dental biofilm [A19581]. It is an FDA-approved over-the-counter product.","Indicated for use to relieve dental hypersensitivity, increase enamel production, prevent gingivitis and cavities, and control periodontal infections. ",F[Sn]F,[]
DB09325,A01AA51,"sodium fluoride, combinations","Sodium fluoride is an inorganic chemical compound that is a source of the fluoride ion in many applications, including dental care and radiographic imaging when it is used as [Fluoride ion F-18].[L4894] Sodium fluoride's benefits on dental health were first observed in the 1930s, when individuals in communities with fluoridated drinking water showed less tooth decay than those without fluoridated water. The use of fluoride in dental practice began in the 1940s. Now, sodium fluoride may be found in a variety of gels, varnishes, rinses, toothpaste products, and fluoride treatments provided in dental care.[A181670,A181688] According to the American Dental Association (ADA), thorough evidence reviews have indicated that the use of fluoride to prevent and control dental caries is safe when used correctly and is highly effective in reducing the prevalence of caries.[L7691]","Sodium fluoride in the oral or topical form is indicated for the prevention and control of dental caries and for the maintenance of dental health.[A181652,L7670]  Fluoride supplements in the form of tablets and other formulas may be prescribed to prevent tooth decay in high-risk children aged 6 months to 16 years old whose drinking water source contains low fluoride concentrations.[L7691]",[F-].[Na+],[]
DB11091,A01AB02,hydrogen peroxide,"Hydrogen peroxide is the simplest peroxide with a chemical formula H2O2. Hydrogen peroxide is an unstable compound in the presence of a base or catalyst, and is typically stored with a stabilizer in a weakly acidic solution. If heated to its boiling point, it may undergo potentially explosive thermal decomposition. Hydrogen peroxide is formed in the body of mammals during reduction of oxygen either directly in a two-electron transfer reaction [L2024]. As a natural product of metabolism, it readily undergoes decomposition by catalase in normal cells [L2024]. 

Due to its potent and broad-spectrum antimicrobial actions, hydrogen peroxide is used in both liquid and gas form for preservative, disinfection and sterilization applications as an oxidative biocide [A32369]. It is used in industrial and cosmetic applications as a bleaching agent. Hydrogen peroxide is also considered as a generally recognized as safe compound by the FDA [L2024]; it is used as an antimicrobial agent in starch and cheese products, and as an oxidizing and reducing agent in products containing dried eggs, dried egg whites, and dried egg yolks.",Indicated to be used as a disinfectant and sterilizer. ,OO,[]
DB00878,A01AB03,chlorhexidine,"Chlorhexidine is a broad-spectrum antimicrobial biguanide used as a topical antiseptic and in dental practice for the treatment of inflammatory dental conditions caused by microorganisms.[L11512] It is one of the most common skin and mucous membrane antiseptic agents in use today.[A190417] The molecule itself is a cationic bis-guanide consisting of two 4-chlorophenyl rings and two biguanide groups joined by a central hexamethylene chain.[A190453] Topical chlorhexidine for disinfection, as well as oral rinses for dental use, carries activity against a broad range of pathogens including bacteria, yeasts, and viruses.[L11518,L11512,A190453]

Chlorhexidine was developed in the UK by Imperial Chemical Industries in the early 1950s[A190474] and was introduced to the US in the 1970s.[L11572]","Chlorhexidine is available over-the-counter in various formulations (e.g. solution, sponge, cloth, swab) as a topical antiseptic to sanitize prior to surgeries and/or medical procedures.[L11518,L11521,L11527,L11533] Dental formulations, available by prescription only, include an oral rinse indicated for the treatment of gingivitis[L11512] and a slow-release ""chip"" which is inserted into periodontal pockets and is indicated for the reduction of pocket depth in adult patients with periodontitis as an adjunct therapy to dental scaling and root planing procedures.[L11536]",ClC1=CC=C(NC(=N)NC(=N)NCCCCCCNC(=N)NC(=N)NC2=CC=C(Cl)C=C2)C=C1,['[3*]C(=N)NC(=N)Nc1ccc(Cl)cc1^[2*]NCCCCCCN[1*]^[2*]C(=N)NC(=N)N[1*]^[3*]c1ccc(Cl)cc1']
DB00681,A01AB04,amphotericin B,"Amphotericin B shows a high order of in vitro activity against many species of fungi. Histoplasma capsulatum, Coccidioides immitis, Candida species, Blastomyces dermatitidis, Rhodotorula, Cryptococcus neoformans, Sporothrix schenckii, Mucor mucedo, and Aspergillus fumigatus are all inhibited by concentrations of amphotericin B ranging from 0.03 to 1.0 mcg/mL in vitro. While Candida albicans is generally quite susceptible to amphotericin B, non-albicans species may be less susceptible. Pseudallescheria boydii and Fusarium sp. are often resistant to amphotericin B. The antibiotic is without effect on bacteria, rickettsiae, and viruses.",Used to treat potentially life threatening fungal infections.,[H][C@]12C[C@@H](O[C@@H]3O[C@H](C)[C@@H](O)[C@H](N)[C@@H]3O)\C=C\C=C\C=C\C=C\C=C\C=C\C=C\[C@H](C)[C@@H](O)[C@@H](C)[C@H](C)OC(=O)C[C@H](O)C[C@H](O)CC[C@@H](O)[C@H](O)C[C@H](O)C[C@](O)(C[C@H](O)[C@H]1C(O)=O)O2,[]
DB11594,A01AB06,domiphen,Domiphen bromide is a quaternary ammonium compound that is predominantly employed as a topically administered antiseptic agent.,"Anti-infective (topical), it is used for the treatment of Acute Infectious Dental Diseases and other conditions.",CCCCCCCCCCCC[N+](C)(C)CCOC1=CC=CC=C1,['[3*]OCC[N+](C)(C)CCCCCCCCCCCC^[3*]c1ccccc1']
DB11145,A01AB07,oxyquinoline,"Oxyquinoline is a heterocyclic phenol and derivative of quinoline with antiseptic, disinfectant, and pesticide properties. It is used as a stabilizer for hydrogen peroxide, where it is sometimes added in cosmetic products.",Oxyquinoline is used as a biocidal component of several over the counter products. These products are marketed for the purposes of inhibiting abnormal biological growth in the vagina and restoring natural pH. ,OC1=CC=CC2=C1N=CC=C2,[]
DB01110,A01AB09,miconazole,"Miconazole is a broad-spectrum azole antifungal with some activity against Gram-positive bacteria as well.[A203636] It is widely used to treat mucosal yeast infections, including both oral and vaginal infections; although intravenous miconazole is no longer available, a wide variety of suppositories, creams, gels, and tablet-based products are available.[L14021, L14024, L14027, L14033, L14396] Miconazole is thought to act primarily through the inhibition of fungal CYP450 14α-lanosterol demethylase activity.[A203636, A203639]

Miconazole was first synthesized in 1969 and first granted FDA approval on January 8, 1974, for sale by INSIGHT Pharmaceuticals as a topical cream.[A214523, L14021] It is currently available as a variety of prescription and over the counter products. Despite having been in clinical use for an extended period, resistance to miconazole among susceptible organisms is relatively low.[A203636]","Miconazole is indicated for the local treatment of oropharyngeal candidiasis in adult patients and for the adjunctive treatment of diaper dermatitis complicated by candidiasis in immunocompetent patients aged four weeks and older.[L14021, L14024] Miconazole is available as both a suppository and cream for the treatment of vaginal yeast infections and the relief of associated vulvar itching and irritation.[L14027] Lastly, miconazole cream is effective in treating athlete's foot (tinea pedis), jock itch (tinea cruris), ringworm infections (tinea corporis),[L14033] pityriasis (formerly tinea) versicolor,[A203633] and cutaneous candidiasis.[A203630]",ClC1=CC(Cl)=C(COC(CN2C=CN=C2)C2=C(Cl)C=C(Cl)C=C2)C=C1,['[3*]c1ccc(Cl)cc1Cl^[2*]COC([1*])Cn1ccnc1^[3*]c1ccc(Cl)cc1Cl']
DB00826,A01AB10,natamycin,"Amphoteric macrolide antifungal antibiotic from Streptomyces natalensis or S. chattanoogensis. It is used for a variety of fungal infections, mainly topically. [PubChem]","For the treatment of fungal blepharitis, conjunctivitis, and keratitis caused by susceptible organisms including <i>Fusarium solani</i> keratitis.",[H][C@@]12C[C@H](O)C[C@]3(O)C[C@H](O)[C@@H](C(O)=O)[C@]([H])(C[C@@H](O[C@]4([H])O[C@H](C)[C@@H](O)[C@H](N)[C@@H]4O)\C=C\C=C\C=C\C=C\C[C@@H](C)OC(=O)\C=C\[C@@]1([H])O2)O3,[]
DB08958,A01AB12,hexetidine,A bactericidal and fungicidal antiseptic. It is used as a 0.1% mouthwash for local infections and oral hygiene.,,CCCCC(CC)CN1CN(CC(CC)CCCC)CC(C)(N)C1,[]
DB00759,A01AB13,tetracycline,Tetracycline is a broad spectrum polyketide antibiotic produced by the Streptomyces genus of Actinobacteria. It exerts a bacteriostatic effect on bacteria by binding reversible to the bacterial 30S ribosomal subunit and blocking incoming aminoacyl tRNA from binding to the ribosome acceptor site. It also binds to some extent to the bacterial 50S ribosomal subunit and may alter the cytoplasmic membrane causing intracellular components to leak from bacterial cells.,"Used to treat bacterial infections such as Rocky Mountain spotted fever, typhus fever, tick fevers, Q fever, rickettsialpox and Brill-Zinsser disease. May be used to treat infections caused by Chlamydiae spp., B. burgdorferi (Lyme disease), and upper respiratory infections caused by typical (S. pneumoniae, H. influenzae, and M. catarrhalis) and atypical organisms (C. pneumoniae, M. pneumoniae, L. pneumophila). May also be used to treat acne. Tetracycline may be an alternative drug for people who are allergic to penicillin.",[H][C@@]12C[C@@]3([H])C(=C(O)[C@]1(O)C(=O)C(C(N)=O)=C(O)[C@H]2N(C)C)C(=O)C1=C(O)C=CC=C1[C@@]3(C)O,[]
DB00916,A01AB17,metronidazole,"Metronidazole is a commonly used antibiotic, belonging to the nitroimidazole class of antibiotics.[L3754] It is frequently used to treat gastrointestinal infections as well as trichomoniasis and giardiasis, and amebiasis which are parasitic infections.[A181036,A18039] Metronidazole has been used as an antibiotic for several decades[L7429], with added antiparasitic properties that set it apart from many other antibacterial drugs, allowing it to treat a wide variety of infections. It is available in capsule form, tablet form, and topical form, and suppository preparations for the treatment of various infections.","Metronidazole is indicated for the treatment of confirmed trichomoniasis caused by Trichomonas vaginalis (except for in the first trimester of pregnancy) and the patient's sexual partners, bacterial vaginosis[L7432], certain types of amebiasis, and various anaerobic infections.[A181057]  The above anaerobic infections may occur on the skin and skin structures, the abdomen, the heart, reproductive organs, central nervous system, and the respiratory system. Some may also be present in the bloodstream in cases of septicemia. Common infections treated by metronidazole are Bacteroides species infections, Clostridium infections, and Fusobacterium infections, as well as Peptococcus and Peptostreptococcus infections.[L3754] 

It is also used off-label in the treatment of Crohn's disease and rosacea, as a prophylactic agent after surgery[A181039], and in the treatment of Helicobacter pylori infection.[A181045] It has also been studied in the prevention of preterm births and to treat periodontal disease.[A1391,A181078]",CC1=NC=C(N1CCO)[N+]([O-])=O,[]
