,target,protectedtarget,numGens,monoDeprotected,diDeprotected,total#ofBuilings,blockAboveLimits,monoProtected,diProtected,BBs
34,CCCCCCCCCCCC[N+](C)(C)CCOc1ccccc1,CCCCCCCCCCCC[N+](C)(C)CCOc1ccccc1,1,OB(O)c1ccccc1.Brc1ccccc1,,2,0,CN1C(C)(C)C(=O)OB(c2ccccc2)OC(=O)C1(C)C.Brc1ccccc1,,OB(O)c1ccccc1.Brc1ccccc1
47,CN1CCCN=C1COC(=O)C(O)(c1ccccc1)C1CCCCC1,CN1CCCN=C1COC(=O)C(O)(c1ccccc1)C1CCCCC1,1,O=C(O)C(O)(c1ccccc1)C1CCCCC1,,1,0,O=C(O)C(O)(c1ccccc1)C1CCCCC1,,O=C(O)C(O)(c1ccccc1)C1CCCCC1
49,CCC(COC(=O)c1cc(OC)c(OC)c(OC)c1)(c1ccccc1)N(C)C,CCC(COC(=O)c1cc(OC)c(OC)c(OC)c1)(c1ccccc1)N(C)C,1,COc1cc(C(=O)O)cc(OC)c1OC,,1,0,COc1cc(C(=O)O)cc(OC)c1OC,,COc1cc(C(=O)O)cc(OC)c1OC
50,CC[N+](C)(CC)CCOC(=O)C1c2ccccc2Oc2ccccc21,CC[N+](C)(CC)CCOC(=O)C1c2ccccc2Oc2ccccc21,1,O=C(O)C1c2ccccc2Oc2ccccc21,,1,0,O=C(O)C1c2ccccc2Oc2ccccc21,,O=C(O)C1c2ccccc2Oc2ccccc21
51,C[N+]1(C)CCC(OC(=O)C(O)(c2ccccc2)C2CCCC2)C1,C[N+]1(C)CCC(OC(=O)C(O)(c2ccccc2)C2CCCC2)C1,1,O=C(O)C(O)(c1ccccc1)C1CCCC1,,1,0,O=C(O)C(O)(c1ccccc1)C1CCCC1,,O=C(O)C(O)(c1ccccc1)C1CCCC1
53,CN(C)CCCOc1nn(Cc2ccccc2)c2ccccc12,CN(C)CCCOc1nn(Cc2ccccc2)c2ccccc12,1,OB(O)c1nn(Cc2ccccc2)c2ccccc12.Brc1nn(Cc2ccccc2)c2ccccc12,,2,0,Brc1nn(Cc2ccccc2)c2ccccc12.CN1C(C)(C)C(=O)OB(c2nn(Cc3ccccc3)c3ccccc23)OC(=O)C1(C)C,,OB(O)c1nn(Cc2ccccc2)c2ccccc12.Brc1nn(Cc2ccccc2)c2ccccc12
55,CC[N+](C)(CC)CCOC(=O)C(O)(c1ccccc1)C1CCCCC1,CC[N+](C)(CC)CCOC(=O)C(O)(c1ccccc1)C1CCCCC1,1,O=C(O)C(O)(c1ccccc1)C1CCCCC1,,1,0,O=C(O)C(O)(c1ccccc1)C1CCCCC1,,O=C(O)C(O)(c1ccccc1)C1CCCCC1
56,CCN(CC)CCOC(=O)C1(C2CCCCC2)CCCCC1,CCN(CC)CCOC(=O)C1(C2CCCCC2)CCCCC1,1,O=C(O)C1(C2CCCCC2)CCCCC1,,1,0,O=C(O)C1(C2CCCCC2)CCCCC1,,O=C(O)C1(C2CCCCC2)CCCCC1
61,CC(C)[N+](C)(CCOC(=O)C1c2ccccc2Oc2ccccc21)C(C)C,CC(C)[N+](C)(CCOC(=O)C1c2ccccc2Oc2ccccc21)C(C)C,1,O=C(O)C1c2ccccc2Oc2ccccc21,,1,0,O=C(O)C1c2ccccc2Oc2ccccc21,,O=C(O)C1c2ccccc2Oc2ccccc21
66,CCN(CCCc1ccccc1)CCCc1ccccc1,CCN(CCCc1ccccc1)CCCc1ccccc1,1,OB(O)c1ccccc1.Brc1ccccc1,,2,0,CN1C(C)(C)C(=O)OB(c2ccccc2)OC(=O)C1(C)C.Brc1ccccc1,,OB(O)c1ccccc1.Brc1ccccc1
