target;protectedtarget;numGens;monoDeprotected;diProtected;total#ofBuilings;blockAboveLimits
CCCS(=O)(=O)N[C@H]1C[C@@H](N(C)c2ncnc3[1nH]ccc23)C1;CCCS(=O)(=O)N[C@H]1C[C@@H](N(C)c2ncnc3c2cc[1n]3C(=O)OC(C)(C)C)C1;2;CCCS(=O)(=O)N[C@H]1C[C@@H](NC)C1.CC(C)(C)OC(=O)[1n]1ccc2c(B(O)O)ncnc21.CC(C)(C)OC(=O)[1n]1ccc2c(Br)ncnc21;;3;0
CCc1cc2c(cc1N1CCC(N3CCOCC3)CC1)C(C)(C)c1[1nH]c3cc(C#N)ccc3c1C2=O;CCc1cc2c(cc1N1CCC(N3CCOCC3)CC1)C(C)(C)c1c(c3ccc(C#N)cc3[1n]1C(=O)OC(C)(C)C)C2=O;2;C1CC(N2CCOCC2)CCN1;CN1C(C)(C)C(=O)OB(c2c(Br)c3ccc(C#N)cc3[1n]2C(=O)OC(C)(C)C)OC(=O)C1(C)C.CN1C(C)(C)C(=O)OB(c2c(Br)[1n](C(=O)OC(C)(C)C)c3cc(C#N)ccc23)OC(=O)C1(C)C;3;1
N#CC1(c2ccc(NC(=O)c3cccnc3NCc3ccncc3)cc2)CCCC1;N#CC1(c2ccc(NC(=O)c3cccnc3NCc3ccncc3)cc2)CCCC1;3;N#CC1(c2ccc(N)cc2)CCCC1.NCc1ccncc1;CN1C(C)(C)C(=O)OB(c2ccc(COC(=O)Nc3ccc(Br)cc3)cc2)OC(=O)C1(C)C;3;0
Cc1nc(NC(=O)N2CCC[C@H]2C(N)=O)sc1-c1ccnc(C(C)(C)C(F)(F)F)c1;Cc1nc(NC(=O)N2CCC[C@H]2C(N)=O)sc1-c1ccnc(C(C)(C)C(F)(F)F)c1;3;CC(C)(c1cc(Br)ccn1)C(F)(F)F.c1coc([C@@H]2CCCN2)n1.CC(C)(c1cc(B(O)O)ccn1)C(F)(F)F;CN1C(C)(C)C(=O)OB(c2cc(Br)ccn2)OC(=O)C1(C)C.CN1C(C)(C)C(=O)OB(c2ccnc(Br)c2)OC(=O)C1(C)C;5;0
CN(C)C/C=C/C(=O)Nc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2cc1O[C@H]1CCOC1;CN(C)C/C=C/C(=O)Nc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2cc1O[C@H]1CCOC1;3;[1CH3]c1cc(B(O)O)ccc1F.[1CH3]c1cc(Br)ccc1F.CN(C)C/C=C/C(=O)O.[1CH3]c1cc(N)ccc1F;CN1C(C)(C)C(=O)OB(c2ccc(COC(=O)Nc3cc4c(Br)ncnc4cc3O[C@H]3CCOC3)cc2)OC(=O)C1(C)C;5;0
CCS(=O)(=O)N1CC(CC#N)(n2cc(-c3ncnc4[1nH]ccc34)cn2)C1;CCS(=O)(=O)N1CC(CC#N)(n2cc(-c3ncnc4c3cc[1n]4C(=O)OC(C)(C)C)cn2)C1;2;CCS(=O)(=O)N1CC(CC#N)(n2cc(B(O)O)cn2)C1.CCS(=O)(=O)N1CC(CC#N)(n2cc(Br)cn2)C1.CC(C)(C)OC(=O)[1n]1ccc2c(Br)ncnc21.CC(C)(C)OC(=O)[1n]1ccc2c(B(O)O)ncnc21;;4;0
CCN1CCN(Cc2ccc(Nc3ncc(F)c(-c4cc(F)c5nc(C)n(C(C)C)c5c4)n3)nc2)CC1;CCN1CCN(Cc2ccc(Nc3ncc(F)c(-c4cc(F)c5nc(C)n(C(C)C)c5c4)n3)nc2)CC1;3;CCN1CCN(Cc2ccc(Br)nc2)CC1.Cc1nc2c(F)cc(B(O)O)cc2n1C(C)C.CCN1CCN(Cc2ccc(B(O)O)nc2)CC1.Cc1nc2c(F)cc(Br)cc2n1C(C)C.CCN1CCN(Cc2ccc(N)nc2)CC1;CN1C(C)(C)C(=O)OB(c2ccc(COC(=O)Nc3ncc(F)c(Br)n3)cc2)OC(=O)C1(C)C.CN1C(C)(C)C(=O)OB(c2nc(Br)ncc2F)OC(=O)C1(C)C;7;0
O=C(Nc1ccc(OC(F)(F)Cl)cc1)c1cnc(N2CC[C@@H](O)C2)c(-c2ccn[1nH]2)c1;CC(C)(C)OC(=O)[1n]1nccc1-c1cc(C(=O)Nc2ccc(OC(F)(F)Cl)cc2)cnc1N1CC[C@@H](O)C1;4;CC(C)(C)OC(=O)[1n]1nccc1Br.Nc1ccc(OC(F)(F)Cl)cc1.O[C@@H]1CCNC1.CC(C)(C)OC(=O)[1n]1nccc1B(O)O;;4;0
Cn1cnc2c(F)c(Nc3ccc(Br)cc3F)c(C(=O)NOCCO)cc21;Cn1cnc2c(F)c(Nc3ccc([At])cc3F)c(C(=O)NOCCO)cc21;3;[4CH3]c1ccc(Br)c(F)c1.[4CH3]c1ccc(B(O)O)c(F)c1.[4CH3]c1ccc(N)c(F)c1.NOCCO;CN1C(C)(C)C(=O)OB(c2ccc(COC(=O)Nc3c(C(=O)O)cc4c(ncn4C)c3F)cc2)OC(=O)C1(C)C;5;0
COc1cc(Nc2c(C#N)cnc3cc(OCCCN4CCN(C)CC4)c(OC)cc23)c(Cl)cc1Cl;COc1cc(Nc2c(C#N)cnc3cc(OCCCN4CCN(C)CC4)c(OC)cc23)c(Cl)cc1Cl;2;COc1cc(N)c([1CH3])cc1[1CH3].COc1cc2c(B(O)O)c(C#N)cnc2cc1OCCCN1CCN(C)CC1.COc1cc2c(N)c(C#N)cnc2cc1OCCCN1CCN(C)CC1.COc1cc(B(O)O)c([1CH3])cc1[1CH3].COc1cc(Br)c([1CH3])cc1[1CH3].COc1cc2c(Br)c(C#N)cnc2cc1OCCCN1CCN(C)CC1;COc1cc2c(NC(=O)OCc3ccc(B4OC(=O)C(C)(C)N(C)C(C)(C)C(=O)O4)cc3)c(C#N)cnc2cc1Br;7;0
