,0
Non-alcoholic fatty liver disease,89412
Barth syndrome,85256
Cholesterol translocation,85256
Stabilizing cytochrome oxidase,85256
Stabilizing mitochondrial structure,85256
Apoptosis,85256
Diabetic heart disease,85256
Proton trap for oxidative phosphorylation,85256
Tangier disease,85256
Aging,85256
nutrient,49747
Energy source,36176
Cardiovascular disease,36081
Energy storage,35120
Membrane stabilizer,35120
Atherosclerosis,34994
Metabolic syndrome,30859
Thyroxine treatment,29928
Pancreatitis,29928
Fat storage,29928
inflammatory,18550
Cancer,17644
Obesity,17636
surfactant,16319
Emulsifier,16319
Nutritional supplement,12483
food additive,12475
Smooth,12474
Breast cancer,10010
Alzheimer's Disease,8669
Parkinson's disease,8606
cancer treatment,8215
Diabetes mellitus type 2,5756
Diabetes mellitus,4848
Colorectal cancer,4603
Seizure,4488
Stomach cancer,4478
Cervical cancer,4396
Ulcerative colitis,4396
anti viral,3272
Decomposition_evaluation,3013
anti inflammatory,2832
anti bacterial,2333
electroluminescent,2241
kinase inhibitor,2239
Odor_evaluation,2185
anti cancer,1782
Insulin resistance,1527
pain treatment,1396
diabetes treatment,1333
protein kinase inhibitor,1144
obesity treatment,1139
anti tumor,1124
Renal cell carcinoma,1103
Heart failure,1080
Celiac disease,1076
Inflammatory bowel disease,1075
anti microbial,1023
organic light-emitting device,977
Lipotoxicity,868
Flavoring agent,842
signalling molecule,812
alzheimer's treatment,754
anti biotic,720
liquid crystal,710
organic electroluminescent device,703
light-emitting,690
taste_evaluation,688
hcv inhibitor,637
anti hypertensive,571
fluorescent,548
inflammation treatment,544
anti oxidant,543
optoelectronic,533
Pick's disease,520
Diabetes mellitus type 1,520
anti proliferative,516
inflammatory disease treatment,494
hypertension treatment,483
anti fungal,483
protease inhibitor,482
anti cancer agent,475
fruity,475
organic light-emitting,469
anti depressant,462
tyrosine kinase inhibitor,441
anti coagulant,441
dielectric,439
electronic device,438
sweet,434
anti thrombotic,418
anti viral agent,413
jak inhibitor,410
pi3k inhibitor,397
green,380
Neurodegenerative disease,369
treatment of disorder,367
organic electroluminescence,365
phosphorescent,349
kinase modulator,346
Pharmaceutical,342
asthma treatment,341
renin inhibitor,331
luminous efficiency,330
anti allergic,325
modulate,319
wnt pathway inhibitor,317
platelet aggregation inhibitor,317
organic electroluminescent,309
pesticide,307
hiv treatment,306
autoimmune treatment,303
histone deacetylase inhibitor,298
hiv inhibitor,298
inflammatory treatment,295
btk inhibitor,285
tumor treatment,276
anti viral compound,273
alzheimer's disease treatment,271
anti diabetic,271
hepatitis c treatment,267
Waste product,259
low driving voltage,256
cardiovascular treatment,256
chemokine receptor modulator,255
factor xa inhibitor,253
anti body,252
anti psychotic,252
immunomodulator,246
phosphodiesterase inhibitor,244
photosensitive,243
sodium channel inhibitor,236
angiogenesis inhibitor,230
organic light-emitting diode,229
schizophrenia treatment,229
cardiovascular disease treatment,221
luminescent,218
hiv protease inhibitor,218
autoimmune disease treatment,217
anti arrhythmic,215
electroluminescent device,213
organic electroluminescent compound,213
floral,212
migraine treatment,211
metabolic syndrome treatment,210
pde4 inhibitor,210
egfr inhibitor,210
hcv treatment,209
hbv inhibitor,209
angiotensin ii antagonist,207
atherosclerosis treatment,206
dppiv inhibitor,204
hsp90 inhibitor,202
liquid crystal composition,201
cdk inhibitor,199
electron transport,194
hdac inhibitor,193
thrombin inhibitor,192
glaucoma treatment,192
negative dielectric anisotropy,191
thrombosis treatment,190
electrolyte,188
AIDs treatment,187
organic electronic device,187
orexin receptor antagonist,187
anti convulsant,186
mtor inhibitor,183
anti ulcer,183
positive allosteric modulator,182
prmt5 inhibitor,180
bitter,179
hiv integrase inhibitor,177
cftr modulator,177
bromodomain inhibitor,176
syk inhibitor,174
janus kinase inhibitor,172
high luminous efficiency,171
woody,171
anti tumor agent,168
anti angiogenic,166
serine protease inhibitor,166
neurodegenerative treatment,166
cysteine protease inhibitor,163
protein tyrosine kinase inhibitor,163
betasecretase inhibitor,163
ns5a inhibitor,163
herbal,162
Polymerization_evaluation,162
anti inflammatory agent,161
anti obesity,158
environmental contaminant,154
anti malarial,153
type 2 diabetes treatment,152
anti bacterial agent,152
mmp inhibitor,150
ppar agonist,150
photoresist,148
anti neoplastic,148
cetp inhibitor,146
waxy,145
parp inhibitor,145
fibrosis treatment,142
depression treatment,142
gpr40 agonist,141
neurodegenerative disease treatment,141
anti infective,141
organic electroluminescent element,139
cystic fibrosis treatment,139
Food and nutrition,137
anti bodydrug conjugate,136
fatty,136
rheumatoid arthritis treatment,135
faah inhibitor,134
hcv protease inhibitor,133
fungicide,133
kras inhibitor,132
glucocorticoid receptor modulator,132
pi3 kinase inhibitor,132
anti parasitic,131
hyperlipidemia treatment,130
tnfα inhibitor,129
factor xia inhibitor,129
anti tumour,129
muscarinic receptor antagonist,128
